站位,温度,PH,溶解氧,化学需氧量,生化需氧量,无机氮,非离子氨,活性磷酸盐,汞,镉,铅,六价铬,总铬,砷加,铜,锌,硒,镍,氰化物,硫化物,挥发性酚,石油类,六六六,滴滴涕,马拉硫磷,甲基对硫磷,苯并芘,阴离子表面活性剂,60Co,90Sr,106Rn,134Cs,137Cs
单位,℃,,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,μg/L,mg/L,Bq/L,Bq/L,Bq/L,Bq/L,Bq/L
1#,0,8.15,6,2,1,0.2,0.02,0.015,0.00005,0.001,0.001,0.005,0.05,0.02,0.005,0.02,0.01,0.005,0.005,0.02,0.005,0.05,0.001,0.00005,0.0005,0.0005,0.0025,0.03,0.03,4,0.2,0.6,0.7
2#,0,8.49,5,3,3,0.3,0.02,0.03,0.0002,0.005,0.005,0.01,0.1,0.03,0.01,0.05,0.02,0.01,0.005,0.05,0.005,0.05,0.002,0.0001,0.001,0.001,0.0025,0.1,0.03,4,0.2,0.6,0.7
3#,0,8.5,4,4,4,0.4,0.02,0.03,0.0002,0.01,0.01,0.02,0.2,0.05,0.05,0.1,0.02,0.02,0.1,0.1,0.01,0.3,0.003,0.0001,0.001,0.001,0.0025,0.1,0.03,4,0.2,0.6,0.7
4#,0,8.51,3,5,5,0.5,0.02,0.045,0.0005,0.01,0.05,0.05,0. 5,0.05,0.05,0.5,0.05,0.05,0.2,0.25,0.05,0.5,0.005,0.0001,0.001,0.001,0.0025,0.1,0.03,4,0.2,0.6,0.7
5#,0,8.79,18,5,5,0.5,0.02,0.045,0.0005,0.01,0.05,0.05,0.01L,0.05,0.05,0.5,0.05,0.05,0.2,0.25,0.05,0.5,0.005,0.0001,0.001,0.001,0.0025,0.1,0.03,4,0.2,0.6,0.7
6#,0,8.8,12,5,5,0.5,0.02,0.045,0.0005,0.01,0.05,0.05,未检出,0.05,0.05,0.5,0.05,0.05,0.2,0.25,0.05,0.5,0.005,0.0001,0.001,0.001,0.0025,0.1,0.03,4,0.2,0.6,0.7
7#,0,8.9,0,5,5,0.5,0.02,0.045,0.0005,0.01,0.05,0.05,-0.5,0.05,0.05,0.5,0.05,0.05,0.2,0.25,0.05,0.5,0.005,0.0001,0.001,0.001,0.0025,0.1,0.03,4,0.2,0.6,0.7
8#,0,10,1,5,5,0.5,0.02,0.045,0.0005,0.01,0.05,0.05,S12,0.05,0.05,0.5,0.05,0.05,0.2,0.25,0.05,0.5,0.005,0.0001,0.001,0.001,0.0025,0.1,0.03,4,0.2,0.6,0.7
9#,0,10,1,5,5,0.5,0.02,0.045,0.0005,0.01,0.05,0.05,,0.05,0.05,0.5,0.05,0.05,0.2,0.25,0.05,0.5,0.005,0.0001,0.001,0.001,0.0025,0.1,0.03,4,0.2,0.6,0.7
10#,0,10,1,5,5,0.5,0.02,0.045,0.0005,0.01,0.05,0.05,  ,0.05,0.05,0.5,0.05,0.05,0.2,0.25,0.05,0.5,0.005,0.0001,0.001,0.001,0.0025,0.1,0.03,4,0.2,0.6,0.7
